StatTrak™ AWP | Elite Build (Well-Worn),"[-0.17999999999999972, 13.23]"
★ Bowie Knife,"[20.290000000000006, 104.0]"
AWP | Elite Build (Factory New),"[1.0199999999999996, 18.54]"
StatTrak™ FAMAS | Valence (Factory New),"[0.41999999999999993, 15.39]"
StatTrak™ Nova | Hyper Beast (Factory New),"[-1.8699999999999974, 53.0]"
★ Bowie Knife | Blue Steel (Minimal Wear),"[4.049999999999997, 110.0]"
M4A4 | The Battlestar (Factory New),"[1.2699999999999996, 10.66]"
StatTrak™ AK-47 | Fuel Injector (Field-Tested),"[-58.34, 250.0]"
StatTrak™ AK-47 | Fuel Injector (Minimal Wear),"[-74.95999999999998, 400.0]"
StatTrak™ AWP | Elite Build (Battle-Scarred),"[1.6600000000000001, 11.93]"
★ Bowie Knife | Safari Mesh (Field-Tested),"[5.329999999999998, 79.74]"
StatTrak™ AWP | Elite Build (Field-Tested),"[2.160000000000002, 15.35]"
★ Bowie Knife | Night (Field-Tested),"[17.760000000000005, 92.69]"
StatTrak™ M4A4 | The Battlestar (Minimal Wear),"[0.05999999999999872, 27.5]"
StatTrak™ Desert Eagle | Kumicho Dragon (Factory New),"[12.230000000000004, 65.89]"
★ Bowie Knife | Forest DDPAT (Field-Tested),"[11.400000000000006, 78.0]"
StatTrak™ Nova | Hyper Beast (Minimal Wear),"[-5.100000000000001, 32.99]"
StatTrak™ AK-47 | Fuel Injector (Battle-Scarred),"[7.980000000000004, 94.02]"
★ StatTrak™ Bowie Knife | Safari Mesh (Field-Tested),"[11.049999999999997, 80.0]"
★ Bowie Knife | Scorched (Field-Tested),"[10.469999999999999, 72.99]"
StatTrak™ Desert Eagle | Kumicho Dragon (Minimal Wear),"[-1.6900000000000048, 46.63]"
★ Bowie Knife | Scorched (Minimal Wear),"[24.159999999999997, 77.0]"
Desert Eagle | Kumicho Dragon (Well-Worn),"[1.8000000000000007, 10.2]"
AK-47 | Fuel Injector (Factory New),"[5.660000000000025, 235.17]"
StatTrak™ AK-47 | Fuel Injector (Well-Worn),"[32.78, 95.0]"
★ Bowie Knife | Blue Steel (Well-Worn),"[13.549999999999997, 99.0]"
StatTrak™ M4A4 | The Battlestar (Battle-Scarred),"[-0.5800000000000018, 17.42]"
★ Bowie Knife | Stained (Field-Tested),"[-10.980000000000004, 117.28]"
StatTrak™ Glock-18 | Royal Legion (Factory New),"[0.9000000000000021, 18.97]"
★ Bowie Knife | Case Hardened (Field-Tested),"[8.969999999999999, 159.99]"
★ Bowie Knife | Boreal Forest (Field-Tested),"[10.030000000000001, 77.0]"
★ Bowie Knife | Safari Mesh (Well-Worn),"[15.209999999999994, 68.0]"
★ Bowie Knife | Stained (Battle-Scarred),"[-53.97999999999999, 149.98]"
StatTrak™ M4A4 | The Battlestar (Factory New),"[-103.06, 150.0]"
★ Bowie Knife | Fade (Factory New),"[29.230000000000018, 298.2]"
StatTrak™ AWP | Elite Build (Factory New),"[8.14, 59.86]"
★ Bowie Knife | Case Hardened (Well-Worn),"[-94.95000000000002, 229.99]"
★ Bowie Knife | Boreal Forest (Minimal Wear),"[9.319999999999993, 93.0]"
★ Flip Knife | Case Hardened (Battle-Scarred),"[-17.75, 150.0]"
★ Bowie Knife | Case Hardened (Minimal Wear),"[46.889999999999986, 150.0]"
★ Bowie Knife | Crimson Web (Field-Tested),"[23.569999999999993, 165.0]"
★ Bowie Knife | Boreal Forest (Battle-Scarred),"[-14.0, 99.99]"
PP-Bizon | Modern Hunter (Factory New),"[-31.11, 99.99]"
★ Bowie Knife | Slaughter (Minimal Wear),"[11.189999999999998, 199.0]"
★ Bowie Knife | Slaughter (Field-Tested),"[-6.310000000000002, 190.0]"
★ Flip Knife | Scorched (Minimal Wear),"[-3.6599999999999966, 104.0]"
★ StatTrak™ Bowie Knife | Safari Mesh (Battle-Scarred),"[-39.25, 113.89]"
StatTrak™ M4A4 | The Battlestar (Well-Worn),"[-3.099999999999998, 24.4]"
★ Karambit | Blue Steel (Well-Worn),"[65.54000000000002, 305.46]"
★ Bowie Knife | Slaughter (Factory New),"[-26.5, 270.0]"
★ StatTrak™ Bowie Knife | Crimson Web (Field-Tested),"[44.95000000000002, 173.16]"
★ StatTrak™ Bowie Knife | Urban Masked (Minimal Wear),"[-69.54, 154.0]"
★ Bowie Knife | Crimson Web (Minimal Wear),"[63.02000000000001, 249.98]"
★ M9 Bayonet | Crimson Web (Minimal Wear),"[197.02999999999997, 1050.0]"
★ StatTrak™ Bowie Knife | Scorched (Minimal Wear),"[-38.859999999999985, 139.95]"
★ StatTrak™ Bowie Knife | Case Hardened (Battle-Scarred),"[-1.1799999999999784, 179.95]"
★ Bowie Knife | Blue Steel (Factory New),"[-30.879999999999995, 172.99]"
★ StatTrak™ Bowie Knife | Night (Minimal Wear),"[-54.16, 230.0]"
★ StatTrak™ Bowie Knife | Fade (Factory New),"[92.35000000000002, 350.0]"
★ Bayonet | Scorched (Battle-Scarred),"[31.010000000000005, 119.99]"
★ StatTrak™ Bowie Knife | Slaughter (Factory New),"[-59.629999999999995, 390.0]"
★ Gut Knife | Urban Masked (Battle-Scarred),"[-10.450000000000003, 84.0]"
★ Bayonet | Safari Mesh (Well-Worn),"[9.180000000000007, 142.5]"
USP-S | Caiman (Field-Tested),"[-0.3999999999999986, 16.47]"
USP-S | Caiman (Minimal Wear),"[3.219999999999999, 18.98]"
USP-S | Caiman (Factory New),"[-2.9700000000000024, 33.99]"
StatTrak™ USP-S | Caiman (Field-Tested),"[-1883.92, 1911.0]"
StatTrak™ USP-S | Caiman (Factory New),"[8.86, 69.69]"
StatTrak™ MAC-10 | Tatter (Factory New),"[-24.39, 34.0]"
StatTrak™ M4A4 | Desert-Strike (Field-Tested),"[-4.630000000000001, 15.0]"
StatTrak™ M4A4 | Desert-Strike (Minimal Wear),"[2.0400000000000027, 17.97]"
StatTrak™ M4A4 | Desert-Strike (Factory New),"[-6.1200000000000045, 39.99]"
StatTrak™ M4A4 | Desert-Strike (Well-Worn),"[-2.41, 23.0]"
★ M9 Bayonet | Safari Mesh (Battle-Scarred),"[-9.099999999999994, 200.0]"
★ Karambit | Night (Minimal Wear),"[-53.97000000000003, 450.0]"
Sticker | MLG (Foil) | MLG Columbus 2016,"[0.889999999999997, 16.1]"
Sticker | shox | MLG Columbus 2016,"[-22.64, 25.0]"
Autograph Capsule | Legends (Foil) | MLG Columbus 2016,"[-7.43, 23.0]"
Sticker | Astralis (Holo) | MLG Columbus 2016,"[-2.8499999999999996, 14.0]"
Autograph Capsule | Splyce | MLG Columbus 2016,"[-12.879999999999999, 15.0]"
Sticker | shroud | MLG Columbus 2016,"[-8.440000000000001, 16.0]"
Sticker | Stewie2K | MLG Columbus 2016,"[-8.010000000000002, 14.71]"
Sticker | Astralis (Foil) | MLG Columbus 2016,"[3.8999999999999986, 19.0]"
